threshold,window,label,n_quiet,w_diff,p_value,delta_dd,consistent
0.5,Window1_2000s,drawdown,881,0.0022503083059915775,5.499710334028691e-122,-1.7863755437981174e-05,False
0.55,Window1_2000s,drawdown,881,0.0017295881959955603,1.0664515713161203e-53,-1.1770479259199306e-05,False
0.6,Window1_2000s,drawdown,881,-0.0028264495019685227,2.093409761427591e-70,4.658511245470573e-05,True
0.65,Window1_2000s,drawdown,881,-0.00465439697343068,9.621061562437548e-217,8.128366895420337e-05,True
0.7,Window1_2000s,drawdown,881,-0.00493131801595939,1.0362726702317948e-259,8.287184453677448e-05,True
0.5,Window2_2010s,drawdown,13,-0.08591215755651826,0.003052396766495728,0.0015475900190766467,True
0.55,Window2_2010s,drawdown,13,-0.08591215755651826,0.003052396766495728,0.0015475900190766467,True
0.6,Window2_2010s,drawdown,13,-0.08591215755651826,0.003052396766495728,0.0015644689090366353,True
0.65,Window2_2010s,drawdown,13,-0.0795923966365409,0.005594548830713535,0.0009282617655664849,True
0.7,Window2_2010s,drawdown,13,-0.0795923966365409,0.005594548830713535,0.0011043879847030856,True
0.5,Window3_2020s,drawdown,115,-0.0015473121879211475,5.821995397696658e-33,7.871438652494683e-05,True
0.55,Window3_2020s,drawdown,115,-0.0013187331288360825,2.0942668626226335e-36,7.056108330541217e-05,True
0.6,Window3_2020s,drawdown,115,-0.0010986442668427445,1.0269740197102699e-41,6.322059363142473e-05,True
0.65,Window3_2020s,drawdown,115,-0.0010779528027786798,1.6722349219047243e-41,4.697848247304159e-05,True
0.7,Window3_2020s,drawdown,115,-0.0010258721659371385,3.2510480841464184e-47,4.995870856216707e-05,True
